rollnumber,firstname,last name,dateof birth,gender,gpa,attendence
131407,Cadman,P,5/22/1990,female,4,75
131408,Ishmael,Q,5/23/1990,male,3,29
131409,Kennan,R,5/24/1990,male ,5,86
131410,Jacob,S,5/25/1990,female,3,74
131411,Francis,T,5/26/1990,male,4,17
131413,Chaim,U,5/27/1990,male ,5,83
131415,Emerson,V,5/28/1990,female,3,68
131417,Brett,W,5/29/1990,male,4,94
131418,Quamar,X,5/30/1990,male ,5,72
131419,Uriel,Y,5/31/1990,female,4,88
131421,Keaton,Z,6/1/1990,male,5,68
131422,Myles,A,6/2/1990,male ,3,40
131423,Jasper,B,6/3/1990,female,5,52
131425,Isaiah,C,6/4/1990,male,4,86
131426,Grady,D,6/5/1990,male ,3,80
131427,Chase,E,6/6/1990,female,5,68
131428,Chaim,F,6/7/1990,male,5,60
131429,Ali,G,6/8/1990,male ,4,37
131432,Anthony,H,6/9/1990,female,3,43
131433,Dean,I,6/10/1990,male,5,85
131435,Malik,J,6/11/1990,male ,4,99
131437,Quentin,K,6/12/1990,female,4,16
131438,Ahmed,L,6/13/1990,male,5,80
131441,Benedict,M,6/14/1990,male ,3,47
131443,Norman,N,6/15/1990,female,4,65
131445,Damon,O,6/16/1990,male,3,85
131447,Edward,P,6/17/1990,male ,5,95
131448,Cyrus,Q,6/18/1990,female,4,46
131449,Cameron,R,6/19/1990,male,3,24
131451,Garrett,S,6/20/1990,male ,4,92
131452,Jackson,T,6/21/1990,female,4,61
132108,Brennan,U,6/22/1990,male,3,70
132218,Damian,V,6/23/1990,male ,5,67
132241,Declan,W,6/24/1990,female,4,78
132302,Eagan,X,6/25/1990,male,4,21
132305,Brenden,Y,6/26/1990,male ,4,80
132324,Mohammad,Z,6/27/1990,female,5,23
132329,Jameson,A,6/28/1990,male,5,62
132339,Preston,B,6/29/1990,male ,4,54
132401,Owen,C,6/30/1990,female,4,63
132412,Jamal,D,7/1/1990,male,5,33
132414,Graiden,E,7/2/1990,male ,5,95
132416,Charles,F,7/3/1990,female,4,62
132431,Holmes,G,7/4/1990,male,4,37
133111,Harper,H,7/5/1990,male ,3,65
133122,Tyler,I,7/6/1990,female,4,90
133129,Hammett,J,7/7/1990,male,3,60
133139,Macon,K,7/8/1990,male ,5,55
133140,Davis,L,7/9/1990,female,3,10
133142,Allen,M,7/10/1990,male,3,96
133144,Allistair,N,7/11/1990,male ,4,69
133149,Francis,O,7/12/1990,female,4,99
133150,Boris,P,7/13/1990,male,3,76
133151,Derek,Q,7/14/1990,male ,5,63
133152,Drew,R,7/15/1990,female,3,59
133202,Carter,S,7/16/1990,male,5,61
133211,Abbot,T,7/17/1990,male ,4,75
133216,Giacomo,U,7/18/1990,female,4,13
133219,Eaton,V,7/19/1990,male,4,18
133224,Xenos,W,7/20/1990,male ,5,14
133233,Wesley,X,7/21/1990,female,5,28
133236,Hasad,Y,7/22/1990,male,3,89
133240,Amos,Z,7/23/1990,male ,4,28
133246,Grady,A,7/24/1990,female,5,29
133252,Jelani,B,7/25/1990,male,5,70
133303,Hakeem,C,7/26/1990,male ,4,40
133306,Thane,D,7/27/1990,female,4,65
133307,Laith,E,7/28/1990,male,4,64
133308,Samuel,F,7/29/1990,male ,4,32
133310,Howard,G,7/30/1990,female,5,99
133315,Hasad,H,7/31/1990,male,3,94
133316,Lucius,I,8/1/1990,male ,4,84
133317,Dante,J,8/2/1990,female,3,95
133319,Isaiah,K,8/3/1990,male,4,33
133320,Xander,L,8/4/1990,male ,5,86
133325,Myles,M,8/5/1990,female,3,57
133331,Ethan,N,8/6/1990,male,4,57
133347,Dillon,O,8/7/1990,male ,5,87
133349,Reese,P,8/8/1990,female,5,28
133351,Solomon,Q,8/9/1990,male,4,43
133403,Kane,R,8/10/1990,male ,3,79
133420,Audrey,S,8/11/1990,female,3,92
133424,Jade,T,8/12/1990,male,5,34
133430,Uta,U,8/13/1990,male ,3,49
133434,Unity,V,8/14/1990,female,3,64
133436,Nola,W,8/15/1990,male,3,57
133439,Odessa,X,8/16/1990,male ,3,37
133440,Zorita,Y,8/17/1990,female,5,64
133442,Donna,Z,8/18/1990,male,5,69
133444,Ariana,A,8/19/1990,male ,5,15
133446,Halla,B,8/20/1990,female,4,52
133450,Wynter,C,8/21/1990,male,3,64
133454,Rebecca,D,8/22/1990,male ,3,33
133458,Hadley,E,8/23/1990,female,3,49
133462,Cameran,F,8/24/1990,male,4,46
133466,Blaine,G,8/25/1990,male ,5,55
133470,Kitra,H,8/26/1990,female,4,88
133474,Yeo,I,8/27/1990,male,5,23
133478,Cora,J,8/28/1990,male ,4,56
133482,Hadley,K,8/29/1990,female,5,31
133486,Audra,L,8/30/1990,male,5,84
133490,Whoopi,M,8/31/1990,male ,3,90
133494,Brielle,N,9/1/1990,female,5,92
133498,Indira,O,9/2/1990,male,5,42
133502,Charlotte,P,9/3/1990,male ,3,13
133506,Tallulah,Q,9/4/1990,female,5,80
133510,Piper,R,9/5/1990,male,4,54
133514,Eve,S,9/6/1990,male ,4,25
133518,Kaden,T,9/7/1990,female,3,70
133522,Savannah,U,9/8/1990,male,3,99
133526,Cailin,V,9/9/1990,male ,5,67
133530,Zephr,W,9/10/1990,female,5,90
133534,Rhonda,X,9/11/1990,male,4,76
133538,Maxine,Y,9/12/1990,male ,3,37
133542,Myra,Z,9/13/1990,female,3,11
133546,Sacha,A,9/14/1990,male,5,100
133550,Scarlet,B,9/15/1990,male ,5,48
133554,Deborah,C,9/16/1990,female,3,85
133558,Courtney,D,9/17/1990,male,4,32
133562,Blaine,E,9/18/1990,male ,4,70
133566,Gillian,F,9/19/1990,female,3,64
133570,Dana,G,9/20/1990,male,3,55
133574,Brielle,H,9/21/1990,male ,5,74
133578,Deirdre,I,9/22/1990,female,3,87
133582,April,J,9/23/1990,male,5,31
133586,Adria,K,9/24/1990,male ,4,64
133590,Naomi,L,9/25/1990,female,5,37
133594,Ria,M,9/26/1990,male,5,14
133598,Shea,N,9/27/1990,male ,5,91
133602,Rhoda,O,9/28/1990,female,3,88
133606,Stella,P,9/29/1990,male,4,38
133610,Jena,Q,9/30/1990,male ,5,95
133614,Tatum,R,10/1/1990,female,4,32
133618,Miriam,S,10/2/1990,male,4,13
133622,Sophia,T,10/3/1990,male ,4,92
133626,Simone,U,10/4/1990,female,5,79
133630,Mia,V,10/5/1990,male,5,18
133634,Rinah,W,10/6/1990,male ,4,46
133638,Judith,X,10/7/1990,female,4,82
133642,Lilah,Y,10/8/1990,male,3,17
133646,Maisie,Z,10/9/1990,male ,5,81
133650,Dana,A,10/10/1990,female,4,74
133654,Karyn,B,10/11/1990,male,5,96
133658,Molly,C,10/12/1990,male ,3,21
133662,Helen,D,10/13/1990,female,5,57
133666,Kelsey,E,10/14/1990,male,4,80
133670,Illana,F,10/15/1990,male ,4,96
133674,Clementine,G,10/16/1990,female,3,75
133678,Xantha,H,10/17/1990,male,4,39
133682,Vielka,I,10/18/1990,male ,3,67
133686,Cassandra,J,10/19/1990,female,3,70
133690,Martha,K,10/20/1990,male,3,85
133694,Hayley,L,10/21/1990,male ,5,33
133698,Alexis,M,10/22/1990,female,5,26
133702,Alyssa,N,10/23/1990,male,4,10
133706,Maggy,O,10/24/1990,male ,3,13
133710,Amy,P,10/25/1990,female,4,14
133714,Shaeleigh,Q,10/26/1990,male,4,72
133718,Zena,R,10/27/1990,male ,5,95
133722,Lana,S,10/28/1990,female,3,65
133726,Olympia,T,10/29/1990,male,5,85
133730,Genevieve,U,10/30/1990,male ,4,94
133734,Vivien,V,10/31/1990,female,4,14
133738,Stacey,W,11/1/1990,male,4,93
133742,Nola,X,11/2/1990,male ,4,63
133746,Lacy,Y,11/3/1990,female,3,18
133750,Justine,Z,11/4/1990,male,4,90
133754,Tanya,A,11/5/1990,male ,3,50
133758,Azalia,B,11/6/1990,female,5,97
133762,Astra,C,11/7/1990,male,3,79
133766,Tamara,D,11/8/1990,male ,4,31
133770,Kristen,E,11/9/1990,female,5,63
133774,Amy,F,11/10/1990,male,5,82
133778,Urielle,G,11/11/1990,male ,4,83
133782,Lunea,H,11/12/1990,female,4,68
133786,Bo,I,11/13/1990,male,3,53
133790,Mercedes,J,11/14/1990,male ,3,15
133794,Dominique,K,11/15/1990,female,4,69
133798,Joy,L,11/16/1990,male,5,11
133802,Mollie,M,11/17/1990,male ,5,15
133806,Tatiana,N,11/18/1990,female,3,65
133810,Dorothy,O,11/19/1990,male,4,70
133814,Sierra,P,11/20/1990,male ,3,60
133818,Dacey,Q,11/21/1990,female,5,42
133822,Lunea,R,11/22/1990,male,4,84
133826,Tatiana,S,11/23/1990,male ,3,66
133830,Amena,T,11/24/1990,female,5,94
133834,Madison,U,11/25/1990,male,3,43
133838,Phoebe,V,11/26/1990,male ,4,51
133842,Skyler,W,11/27/1990,female,4,45
133846,Jescie,X,11/28/1990,male,4,17
133850,Tallulah,Y,11/29/1990,male ,3,89
133854,Sigourney,Z,11/30/1990,female,4,44
133858,Amena,A,12/1/1990,male,5,70
133862,Remedios,B,12/2/1990,male ,5,73
133866,Sydney,C,12/3/1990,female,3,19
133870,Teagan,D,12/4/1990,male,5,34
133874,Yvette,E,12/5/1990,male ,4,72
133878,Unity,F,12/6/1990,female,5,93
133882,Mira,G,12/7/1990,male,4,46
133886,Vera,H,12/8/1990,male ,5,50
133890,Brenna,I,12/9/1990,female,3,56
133894,Sloane,J,12/10/1990,male,3,25
133898,Charity,K,12/11/1990,male ,4,29
133902,Kylee,L,12/12/1990,female,5,98
133906,Avye,M,12/13/1990,male,4,94
133910,Marcia,N,12/14/1990,male ,5,100
133914,Zelenia,O,12/15/1990,female,4,13
133918,Phoebe,P,12/16/1990,male,4,72
133922,Shay,Q,12/17/1990,male ,5,27
133926,Shaeleigh,R,12/18/1990,female,3,45
133930,Idona,S,12/19/1990,male,5,15
133934,Neve,T,12/20/1990,male ,3,10
133938,Ciara,U,12/21/1990,female,5,52
133942,Laurel,V,12/22/1990,male,4,38
133946,Ignacia,W,12/23/1990,male ,5,96
133950,Aphrodite,X,12/24/1990,female,3,15
133954,Gay,Y,12/25/1990,male,4,70
133958,Ruth,Z,12/26/1990,male ,3,37
133962,Indira,A,12/27/1990,female,4,18
133966,Rinah,B,12/28/1990,male,3,72
133970,Eve,C,12/29/1990,male ,5,33
133974,Nicole,D,12/30/1990,female,5,50
133978,Freya,E,12/31/1990,male,3,22
133982,Cara,F,1/1/1991,male ,3,48
133986,Rana,G,1/2/1991,female,3,41
133990,Anika,H,1/3/1991,male,3,32
133994,Avye,I,1/4/1991,male ,5,37
133998,Robin,J,1/5/1991,female,5,85
134002,Astra,K,1/6/1991,male,5,26
134006,Freya,L,1/7/1991,male ,3,62
134010,Sacha,M,1/8/1991,female,3,96
134014,Madonna,N,1/9/1991,male,4,44
134018,Noelle,O,1/10/1991,male ,5,71
134022,Kay,P,1/11/1991,female,5,52
134026,Pearl,Q,1/12/1991,male,5,67
134030,Genevieve,R,1/13/1991,male ,4,18
134034,Madonna,S,1/14/1991,female,5,90
134038,Eden,T,1/15/1991,male,5,96
134042,Anne,U,1/16/1991,male ,5,31
134046,Rana,V,1/17/1991,female,3,60
134050,Calista,W,1/18/1991,male,4,61
134054,Yoko,X,1/19/1991,male ,3,90
134058,Summer,Y,1/20/1991,female,3,58
134062,Karen,Z,1/21/1991,male,4,31
134066,Giselle,A,1/22/1991,male ,5,49
134070,Reagan,B,1/23/1991,female,5,80
134074,Naida,C,1/24/1991,male,4,27
134078,Jordan,D,1/25/1991,male ,3,32
134082,Medge,E,1/26/1991,female,5,96
134086,Celeste,F,1/27/1991,male,4,99
134090,Melissa,G,1/28/1991,male ,3,76
134094,Madeline,H,1/29/1991,female,4,28
134098,Jena,I,1/30/1991,male,4,46
134102,Lee,J,1/31/1991,male ,5,57
134106,Cora,K,2/1/1991,female,5,53
134110,Scarlett,L,2/2/1991,male,5,40
134114,Phyllis,M,2/3/1991,male ,5,66
134118,Alma,N,2/4/1991,female,5,37
134122,Brielle,O,2/5/1991,male,5,14
134126,Melinda,P,2/6/1991,male ,3,57
134130,Petra,Q,2/7/1991,female,4,58
134134,Shelly,R,2/8/1991,male,4,47
134138,Kylynn,S,2/9/1991,male ,5,93
134142,Zia,T,2/10/1991,female,5,22
134146,Lee,U,2/11/1991,male,5,18
134150,Patience,V,2/12/1991,male ,4,14
134154,Dakota,W,2/13/1991,female,3,51
134158,Lisandra,X,2/14/1991,male,5,67
134162,Shay,Y,2/15/1991,male ,4,65
134166,Sigourney,Z,2/16/1991,female,3,61
134170,Zenia,A,2/17/1991,male,5,33
134174,Galena,B,2/18/1991,male ,3,86
134178,Margaret,C,2/19/1991,female,5,84
134182,Nerea,D,2/20/1991,male,5,38
134186,Tanya,E,2/21/1991,male ,5,63
134190,Kendall,F,2/22/1991,female,4,76
134194,Rose,G,2/23/1991,male,3,100
134198,Erin,H,2/24/1991,male ,3,26
134202,Violet,I,2/25/1991,female,4,80
134206,Halee,J,2/26/1991,male,3,15
134210,Grace,K,2/27/1991,male ,3,37
134214,Cecilia,L,2/28/1991,female,4,10
134218,Blythe,M,3/1/1991,male,3,47
134222,Charde,N,3/2/1991,male ,3,32
134226,Hayfa,O,3/3/1991,female,4,95
134230,Imani,P,3/4/1991,male,3,51
134234,Cassady,Q,3/5/1991,male ,3,62
134238,Kerry,R,3/6/1991,female,3,63
134242,Brynne,S,3/7/1991,male,3,21
134246,Kelsey,T,3/8/1991,male ,4,62
134250,Tara,U,3/9/1991,female,3,90
134254,Lynn,V,3/10/1991,male,3,82
134258,Alana,W,3/11/1991,male ,3,84
134262,Sonia,X,3/12/1991,female,3,21
134266,Tanya,Y,3/13/1991,male,3,64
134270,Idona,Z,3/14/1991,male ,3,68
134274,Deirdre,A,3/15/1991,female,5,87
134278,Naomi,B,3/16/1991,male,3,42
134282,Deirdre,C,3/17/1991,male ,5,29
134286,Regina,D,3/18/1991,female,3,82
134290,Nomlanga,E,3/19/1991,male,5,80
134294,Zelda,F,3/20/1991,male ,5,33
134298,Ursa,G,3/21/1991,female,3,82
134302,Kiayada,H,3/22/1991,male,4,18
134306,Nicole,I,3/23/1991,male ,3,69
134310,Xaviera,J,3/24/1991,female,5,76
134314,Zelenia,K,3/25/1991,male,4,43
134318,Phoebe,L,3/26/1991,male ,3,11
134322,Shay,M,3/27/1991,female,4,27
134326,Shaeleigh,N,3/28/1991,male,4,47
134330,Idona,O,3/29/1991,male ,3,99
134334,Neve,P,3/30/1991,female,4,99
134338,Ciara,Q,3/31/1991,male,4,30
134342,Laurel,R,4/1/1991,male ,3,72
134346,Ignacia,S,4/2/1991,female,3,89
134350,Aphrodite,T,4/3/1991,male,4,70
134354,Gay,U,4/4/1991,male ,5,69
134358,Ruth,V,4/5/1991,female,4,87
134362,Indira,W,4/6/1991,male,4,57
134366,Rinah,X,4/7/1991,male ,3,14
134370,Eve,Y,4/8/1991,female,3,29
134374,Nicole,Z,4/9/1991,male,5,51
134378,Freya,A,4/10/1991,male ,3,67
134382,Cara,B,4/11/1991,female,5,95
134386,Rana,C,4/12/1991,male,3,33
134390,Anika,D,4/13/1991,male ,3,67
134394,Avye,E,4/14/1991,female,3,34
134398,Robin,F,4/15/1991,male,5,22
134402,Astra,G,4/16/1991,male ,4,33
134406,Freya,H,4/17/1991,female,3,80
134410,Sacha,I,4/18/1991,male,4,48
134414,Madonna,J,4/19/1991,male ,3,74
134418,Noelle,K,4/20/1991,female,5,52
134422,Kay,L,4/21/1991,male,5,74
134426,Pearl,M,4/22/1991,male ,4,15
134430,Genevieve,N,4/23/1991,female,3,71
134434,Madonna,O,4/24/1991,male,3,57
134438,Eden,P,4/25/1991,male ,3,87
134442,Anne,Q,4/26/1991,female,5,18
134446,Rana,R,4/27/1991,male,5,86
134450,Calista,S,4/28/1991,male ,3,40
134454,Yoko,T,4/29/1991,female,4,67
134458,Summer,U,4/30/1991,male,5,55
134462,Karen,V,5/1/1991,male ,5,16
134466,Giselle,W,5/2/1991,female,4,59
134470,Reagan,X,5/3/1991,male,3,98
134474,Naida,Y,5/4/1991,male ,4,33
134478,Jordan,Z,5/5/1991,female,3,96
134482,Medge,A,5/6/1991,male,5,94
134486,Celeste,B,5/7/1991,male ,3,45
134490,Melissa,C,5/8/1991,female,5,78
134494,Madeline,D,5/9/1991,male,3,35
134498,Jena,E,5/10/1991,male ,4,11
134502,Lee,F,5/11/1991,female,5,61
134506,Cora,G,5/12/1991,male,5,18
134510,Scarlett,H,5/13/1991,male ,4,24
134514,Phyllis,I,5/14/1991,female,3,43
134518,Alma,J,5/15/1991,male,5,26
134522,Brielle,K,5/16/1991,male ,4,73
134526,Melinda,L,5/17/1991,female,4,24
134530,Petra,M,5/18/1991,male,4,69
134534,Shelly,N,5/19/1991,male ,5,87
134538,Kylynn,O,5/20/1991,female,4,49
134542,Zia,P,5/21/1991,male,5,53
134546,Lee,Q,5/22/1991,male ,4,17
134550,Patience,R,5/23/1991,female,3,40
134554,Dakota,S,5/24/1991,male,4,65
134558,Lisandra,T,5/25/1991,male ,3,11
134562,Shay,U,5/26/1991,female,3,41
134566,Sigourney,V,5/27/1991,male,3,38
134570,Zenia,W,5/28/1991,male ,4,61
134574,Galena,X,5/29/1991,female,5,29
134578,Margaret,Y,5/30/1991,male,3,32
134582,Nerea,Z,5/31/1991,male ,5,50
134586,Tanya,A,6/1/1991,female,5,64
134590,Kendall,B,6/2/1991,male,4,85
134594,Rose,C,6/3/1991,male ,4,59
134598,Erin,D,6/4/1991,female,5,82
134602,Violet,E,6/5/1991,male,4,73
134606,Halee,F,6/6/1991,male ,4,33
134610,Grace,G,6/7/1991,female,3,70
134614,Cecilia,H,6/8/1991,male,5,80
134618,Blythe,I,6/9/1991,male ,3,97
134622,Charde,J,6/10/1991,female,5,73
134626,Hayfa,K,6/11/1991,male,5,60
134630,Imani,L,6/12/1991,male ,5,52
134634,Cassady,M,6/13/1991,female,5,65
134638,Kerry,N,6/14/1991,male,3,88
134642,Brynne,O,6/15/1991,male ,4,82
134646,Kelsey,P,6/16/1991,female,5,28
134650,Tara,Q,6/17/1991,male,5,92
134654,Lynn,R,6/18/1991,male ,5,55
134658,Alana,S,6/19/1991,female,5,94
134662,Sonia,T,6/20/1991,male,4,35
134666,Tanya,U,6/21/1991,male ,5,47
134670,Idona,V,6/22/1991,female,5,37
134674,Deirdre,W,6/23/1991,male,3,54
134678,Naomi,X,6/24/1991,male ,4,73
134682,Deirdre,Y,6/25/1991,female,3,40
134686,Regina,Z,6/26/1991,male,3,81
134690,Nomlanga,A,6/27/1991,male ,4,59
134694,Zelda,B,6/28/1991,female,5,34
134698,Ursa,C,6/29/1991,male,5,72
134702,Kiayada,D,6/30/1991,male ,5,91
134706,Nicole,E,7/1/1991,female,5,90
134710,Xaviera,F,7/2/1991,male,3,29
134714,Zelenia,G,7/3/1991,male ,3,71
134718,Phoebe,H,7/4/1991,female,4,26
134722,Shay,I,7/5/1991,male,5,91
134726,Shaeleigh,J,7/6/1991,male ,3,62
134730,Idona,K,7/7/1991,female,4,19
134734,Neve,L,7/8/1991,male,4,26
134738,Ciara,M,7/9/1991,male ,3,94
134742,Laurel,N,7/10/1991,female,3,43
134746,Ignacia,O,7/11/1991,male,4,72
134750,Aphrodite,P,7/12/1991,male ,3,46
134754,Gay,Q,7/13/1991,female,4,29
134758,Ruth,R,7/14/1991,male,5,32
134762,Indira,S,7/15/1991,male ,3,46
134766,Rinah,T,7/16/1991,female,5,38
134770,Eve,U,7/17/1991,male,4,76
134774,Nicole,V,7/18/1991,male ,4,47
134778,Freya,W,7/19/1991,female,3,96
134782,Cara,X,7/20/1991,male,3,14
134786,Rana,Y,7/21/1991,male ,4,81
134790,Anika,Z,7/22/1991,female,4,49
134794,Avye,A,7/23/1991,male,3,64
134798,Robin,B,7/24/1991,male ,3,94
134802,Astra,C,7/25/1991,female,5,81
134806,Freya,D,7/26/1991,male,4,34
134810,Sacha,E,7/27/1991,male ,5,55
134814,Madonna,F,7/28/1991,female,4,15
134818,Noelle,G,7/29/1991,male,4,16
134822,Kay,H,7/30/1991,male ,4,77
134826,Pearl,I,7/31/1991,female,5,87
134830,Genevieve,J,8/1/1991,male,3,91
134834,Madonna,K,8/2/1991,male ,4,80
134838,Eden,L,8/3/1991,female,5,11
134842,Anne,M,8/4/1991,male,5,76
134846,Rana,N,8/5/1991,male ,4,20
134850,Calista,O,8/6/1991,female,4,22
134854,Yoko,P,8/7/1991,male,3,81
134858,Summer,Q,8/8/1991,male ,4,25
134862,Karen,R,8/9/1991,female,3,14
134866,Giselle,S,8/10/1991,male,5,35
134870,Reagan,T,8/11/1991,male ,5,97
134874,Naida,U,8/12/1991,female,5,80
134878,Jordan,V,8/13/1991,male,4,43
134882,Medge,W,8/14/1991,male ,4,23
134886,Celeste,X,8/15/1991,female,3,81
134890,Melissa,Y,8/16/1991,male,3,47
134894,Madeline,Z,8/17/1991,male ,4,43
134898,Jena,A,8/18/1991,female,5,54
134902,Lee,B,8/19/1991,male,3,54
134906,Cora,C,8/20/1991,male ,3,96
134910,Scarlett,D,8/21/1991,female,5,32
134914,Phyllis,E,8/22/1991,male,4,22
134918,Alma,F,8/23/1991,male ,4,22
134922,Brielle,G,8/24/1991,female,4,93
134926,Melinda,H,8/25/1991,male,3,40
134930,Petra,I,8/26/1991,male ,5,58
134934,Shelly,J,8/27/1991,female,5,20
134938,Kylynn,K,8/28/1991,male,4,33
134942,Zia,L,8/29/1991,male ,5,65
134946,Lee,M,8/30/1991,female,5,91
134950,Patience,N,8/31/1991,male,5,31
134954,Dakota,O,9/1/1991,male ,5,84
134958,Lisandra,P,9/2/1991,female,3,28
134962,Shay,Q,9/3/1991,male,3,29
134966,Sigourney,R,9/4/1991,male ,4,27
134970,Zenia,S,9/5/1991,female,4,85
134974,Galena,T,9/6/1991,male,4,39
134978,Margaret,U,9/7/1991,male ,4,52
134982,Nerea,V,9/8/1991,female,4,51
134986,Tanya,W,9/9/1991,male,4,89
134990,Kendall,X,9/10/1991,male ,4,76
134994,Rose,Y,9/11/1991,female,3,13
134998,Erin,Z,9/12/1991,male,5,14
135002,Violet,A,9/13/1991,male ,4,94
135006,Halee,B,9/14/1991,female,5,93
135010,Grace,C,9/15/1991,male,3,30
